file,width,height,size_mb,orientation
507560b6-99a8-4d33-990d-4ea7b2ac430e.JPG,1152,2048,0.20,portrait
66e3b660-a02a-48a1-addd-cf5568298c45.JPG,944,2048,0.17,portrait
6ed32255-9ae9-47b0-8ba1-68ddf4a1a04b.jpg,2000,1500,0.38,landscape
IMG_7165.heic,2314,2664,0.63,portrait
IMG_7165.jpg,2314,2664,0.71,portrait
IMG_9245.HEIC,3088,2316,1.23,landscape
IMG_9245.jpg,3088,2316,1.40,landscape
af9dd8bc-761e-494a-a0ac-e5e9bc2f8a43.JPG,974,1471,0.17,portrait
c32d4bd1-0cf0-44bc-abb8-351e9eb2cfb9.jpg,2000,1500,0.30,landscape
c968c5a2-cb67-4dae-9d38-085d5fbca428.JPG,649,1253,0.08,portrait
